,id,name,season,score,year,link,image,genre,producers,members,start_date,end_date,studios,source,themes,duration,rank,popularity,favorites,demographics
24,44511,Chainsaw Man,fall,8.54,2022.0,https://myanimelist.net/anime/44511/Chainsaw_Man,https://cdn.myanimelist.net/images/anime/1806/126216.jpg,"Action, Fantasy",dugout,1414412,2022-10-12T00:00:00+00:00,2022-12-28T00:00:00+00:00,MAPPA,Manga,Gore,24 min per ep,114.0,82,44886,Shounen
25,38474,Yuru Camp△ Season 2,winter,8.53,2021.0,https://myanimelist.net/anime/38474/Yuru_Camp△_Season_2,https://cdn.myanimelist.net/images/anime/1255/110636.jpg,Slice of Life,"Half H.P Studio, MAGES., DeNA",215004,2021-01-07T00:00:00+00:00,2021-04-01T00:00:00+00:00,C-Station,Manga,"CGDCT, Iyashikei",23 min per ep,116.0,1091,2984,
26,40834,Ousama Ranking,fall,8.52,2021.0,https://myanimelist.net/anime/40834/Ousama_Ranking,https://cdn.myanimelist.net/images/anime/1347/117616.jpg,"Adventure, Fantasy","Aniplex, Dentsu, Fuji TV, Kadokawa, Bandai Spirits",615298,2021-10-15T00:00:00+00:00,2022-03-25T00:00:00+00:00,Wit Studio,Web manga,,22 min per ep,121.0,337,12413,
27,47194,Summertime Render,spring,8.49,2022.0,https://myanimelist.net/anime/47194/Summertime_Render,https://cdn.myanimelist.net/images/anime/1120/120796.jpg,"Mystery, Supernatural, Suspense","Shogakukan-Shueisha Productions, Movic, MAGES., Tokyo MX, Shueisha, Toy's Factory, Bandai Spirits",491976,2022-04-15T00:00:00+00:00,2022-09-30T00:00:00+00:00,OLM,Manga,Time Travel,23 min per ep,131.0,438,8313,Shounen
28,40059,Golden Kamuy 3rd Season,fall,8.45,2020.0,https://myanimelist.net/anime/40059/Golden_Kamuy_3rd_Season,https://cdn.myanimelist.net/images/anime/1763/108108.jpg,"Action, Adventure","Magic Capsule, NBCUniversal Entertainment Japan, Twin Engine",163031,2020-10-05T00:00:00+00:00,2020-12-21T00:00:00+00:00,Geno Studio,Manga,"Adult Cast, Historical, Military",23 min per ep,149.0,1396,1439,Seinen
29,50330,Bungou Stray Dogs 4th Season,winter,8.45,2023.0,https://myanimelist.net/anime/50330/Bungou_Stray_Dogs_4th_Season,https://cdn.myanimelist.net/images/anime/1263/132759.jpg,"Action, Mystery, Supernatural","WOWOW, Lantis, Movic, Glovision, Crunchyroll, Kadokawa, Sony Music Solutions, Bandai Namco Music Live",265535,2023-01-04T00:00:00+00:00,2023-03-29T00:00:00+00:00,Bones,Manga,"Adult Cast, Detective, Organized Crime, Super Power",23 min per ep,148.0,882,3094,Seinen
30,42203,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,winter,8.44,2021.0,https://myanimelist.net/anime/42203/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season_Part_2,https://cdn.myanimelist.net/images/anime/1724/117421.jpg,"Drama, Fantasy, Suspense","AT-X, Memory-Tech, Hakuhodo DY Music & Pictures, Kadokawa Media House, Kadokawa",857430,2021-01-06T00:00:00+00:00,2021-03-24T00:00:00+00:00,White Fox,Light novel,"Isekai, Psychological, Time Travel",29 min per ep,160.0,193,12254,
31,49721,Karakai Jouzu no Takagi-san 3,winter,8.41,2022.0,https://myanimelist.net/anime/49721/Karakai_Jouzu_no_Takagi-san_3,https://cdn.myanimelist.net/images/anime/1861/120361.jpg,Comedy,"Shogakukan-Shueisha Productions, Magic Capsule, Asmik Ace, TOHO animation, Shogakukan, Toho Music",180014,2022-01-08T00:00:00+00:00,2022-03-26T00:00:00+00:00,Shin-Ei Animation,Manga,"Romantic Subtext, School",24 min per ep,174.0,1290,2308,Shounen
32,46095,Vivy: Fluorite Eye's Song,spring,8.4,2021.0,https://myanimelist.net/anime/46095/Vivy__Fluorite_Eyes_Song,https://cdn.myanimelist.net/images/anime/1637/115052.jpg,"Action, Sci-Fi, Suspense",Aniplex,521787,2021-04-03T00:00:00+00:00,2021-06-19T00:00:00+00:00,Wit Studio,Original,"Music, Time Travel",24 min per ep,181.0,410,10504,
33,39551,Tensei shitara Slime Datta Ken 2nd Season,winter,8.38,2021.0,https://myanimelist.net/anime/39551/Tensei_shitara_Slime_Datta_Ken_2nd_Season,https://cdn.myanimelist.net/images/anime/1271/109841.jpg,"Action, Adventure, Comedy, Fantasy",Kodansha,918581,2021-01-12T00:00:00+00:00,2021-03-30T00:00:00+00:00,8bit,Manga,"Isekai, Reincarnation",23 min per ep,193.0,170,10599,Shounen
